Bat,Hummingbird,Hawkmoth,Lg_Bee,Butterfly,Sm_Bee_Wasp
9400,56,710,66,2.3,2.6
2500,39,264,58,2,1.32
362,28.1,220,13.7,1.2,1.02
223,26.6,100,13,1,0.75
220,16.6,65,11.5,0.4,0.75
125,10,35,5.3,0.2,0.7
110,4.1,23,3.6,0.2,0.44
65,1.8,7,3.4,0.1,0.31
65,1.6,6.5,2.5,,0.25
35,0.5,3.4,2.5,,0.2
,0.5,2.2,2,,0.19
,,,0.8,,0.12
,,,0.6,,0.08
,,,0.6,,0.06
,,,0.5,,
,,,0.4,,
,,,0.4,,
,,,0.3,,
,,,0.2,,
