"date","plot","treatment","plant","volume","BRIX","mass"
2016-06-05,"EHSR1","H","EHSR1-5",0.0727272727272727,0,0
2016-06-05,"EC3","C","EC3-3",0,0,0
2016-06-05,"ESR2","C","ESR2-4",0,0,0
2016-06-05,"ESR2","C","ESR2-6",0,0,0
2016-06-05,"EH4","H","EH4-9",0,0,0
2016-06-05,"EH4","H","EH4-4",0,0,0
2016-06-05,"EH4","H","EH4-4",0,0,0
2016-06-05,"EH4","H","EH4-3",0,0,0
2016-06-05,"EH4","H","EH4-8",0,0,0
2016-06-05,"ESR2","C","ESR2-4",0,0,0
2016-06-05,"EH4","H","EH4-8",0,0,0
2016-06-05,"EC3","C","EC3-1",0,0,0
2016-06-05,"EH4","H","EH4-6",0,0,0
2016-06-05,"CH5","H","CH5-2",0.2,0,0
2016-06-05,"CH5","H","CH5-6",0,0,0
2016-06-05,"ESR2","C","ESR2-6",0.0363636363636364,2,0.000730909090909091
2016-06-05,"CH5","H","CH5-7",0.0545454545454545,16,0.00928363636363636
2016-06-05,"CH5","H","CH5-7",0.0727272727272727,16,0.0123781818181818
2016-06-05,"EH4","H","EH4-6",0.0181818181818182,17,0.0033
2016-06-05,"EH4","H","EH4-9",0.2,19,0.0409
2016-06-05,"ESR2","C","ESR2-2",0.0727272727272727,22,0.01744
2016-06-05,"EC3","C","EC3-1",0.0909090909090909,22,0.0218
2016-06-05,"EC3","C","EC3-3",0.0909090909090909,24,0.0239818181818182
2016-06-05,"CH5","H","CH5-3",0.109090909090909,26,0.0314290909090909
2016-06-05,"EHSR1","H","EHSR1-5",0.145454545454545,30,0.0491781818181818
2016-06-05,"CH5","H","CH5-4",0.145454545454545,31,0.0529018181818182
2016-06-05,"CH5","H","CH5-2",0.309090909090909,33,0.120483636363636
2016-06-05,"EHSR1","H","EHSR1-2",0.0727272727272727,35,0.0302690909090909
2016-06-05,"EH4","H","EH4-3",0.145454545454545,35,0.0605381818181818
2016-06-05,"CH5","H","CH5-5",0.4,36,0.16648
2016-06-05,"EHSR1","H","EHSR1-2",0.0545454545454545,38,0.0241745454545455
2016-06-05,"ESR2","C","ESR2-2",0.2,38,0.08864
2016-06-06,"CHSR8","H","CHSR8-4",0,0,0
2016-06-06,"WHSR9","H","WHSR9-1",0.0181818181818182,0,0
2016-06-06,"WSR10","C","WSR10-1",0,0,0
2016-06-06,"CHSR8","H","CHSR8-1",0.0363636363636364,0,0
2016-06-06,"WSR10","C","WSR10-7",0,0,0
2016-06-06,"CC6","C","CC6-1",0,0,0
2016-06-06,"CSR7","C","CSR7-3",0,0,0
2016-06-06,"CSR7","C","CSR7-6",0,0,0
2016-06-06,"CHSR8","H","CHSR8-5",0,0,0
2016-06-06,"WHSR9","H","WHSR9-1",0,0,0
2016-06-06,"WHSR9","H","WHSR9-4",0,0,0
2016-06-06,"WHSR9","H","WHSR9-4",0,0,0
2016-06-06,"CC6","C","CC6-1",0,0,0
2016-06-06,"CSR7","C","CSR7-1",0,0,0
2016-06-06,"CSR7","C","CSR7-9",0.0363636363636364,0,0
2016-06-06,"CHSR8","H","CHSR8-1",0,0,0
2016-06-06,"WC11","C","WC11-2",0,0,0
2016-06-06,"CC6","C","CC6-10",0.0909090909090909,14,0.0134272727272727
2016-06-06,"WC11","C","WC11-3",0.0727272727272727,15,0.0115563636363636
2016-06-06,"WHSR9","H","WHSR9-2",0.2,15,0.03178
2016-06-06,"CC6","C","CC6-1",0.454545454545455,15,0.0722272727272727
2016-06-06,"WSR10","C","WSR10-1",0.109090909090909,16,0.0185672727272727
2016-06-06,"WHSR9","H","WHSR9-2",0.236363636363636,17,0.0429
2016-06-06,"WHSR9","H","WHSR9-2",0.236363636363636,18,0.0456181818181818
2016-06-06,"CSR7","C","CSR7-5",0.0727272727272727,18,0.0140363636363636
2016-06-06,"WHSR9","H","WHSR9-1",0.345454545454545,21,0.08284
2016-06-06,"CC6","C","CC6-1",0.854545454545454,22,0.20492
2016-06-06,"WC11","C","WC11-2",0.218181818181818,23,0.0575563636363636
2016-06-06,"WC11","C","WC11-3",0.2,24,0.05276
2016-06-06,"WSR10","C","WSR10-7",0.236363636363636,25,0.0680963636363636
2016-06-06,"WSR10","C","WSR10-3",0.327272727272727,25,0.0942872727272727
2016-06-06,"WC11","C","WC11-2",0.290909090909091,26,0.0838109090909091
2016-06-06,"CSR7","C","CSR7-8",0.309090909090909,27,0.0967145454545454
2016-06-06,"WSR10","C","WSR10-7",0.0727272727272727,27,0.0227563636363636
2016-06-06,"WSR10","C","WSR10-1",0.2,28,0.06258
2016-06-06,"CSR7","C","CSR7-8",0.0727272727272727,29,0.0245890909090909
2016-06-06,"WC11","C","WC11-3",0.163636363636364,29,0.0553254545454545
2016-06-06,"WC11","C","WC11-2",0.2,30,0.06762
2016-06-06,"WC11","C","WC11-3",0.2,31,0.07274
2016-06-06,"CHSR8","H","CHSR8-2",0.109090909090909,34,0.0425236363636364
2016-06-06,"CHSR8","H","CHSR8-6",0.127272727272727,34,0.0496109090909091
2016-06-06,"CC6","C","CC6-10",0.490909090909091,36,0.204316363636364
2016-06-06,"CHSR8","H","CHSR8-6",0.218181818181818,37,0.0966981818181818
2016-06-06,"WSR10","C","WSR10-3",0.218181818181818,37,0.0966981818181818
2016-06-06,"CSR7","C","CSR7-9",0.0727272727272727,38,0.0322327272727273
2016-06-06,"CC6","C","CC6-10",0.181818181818182,39,0.0855636363636364
2016-06-06,"CC6","C","CC6-10",0.254545454545455,39,0.119789090909091
2016-06-06,"CHSR8","H","CHSR8-2",0.218181818181818,42,0.108741818181818
2016-06-07,"EH4","H","EH4-6",0,0,0
2016-06-07,"CH5","H","CH5-6",0,0,0
2016-06-07,"CH5","H","CH5-7",0,0,0
2016-06-07,"ESR2","C","ESR2-4",0,0,0
2016-06-07,"EH4","H","EH4-5",0,0,0
2016-06-07,"CC6","C","CC6-9",0,0,0
2016-06-07,"EHSR1","H","EHSR1-2",0,0,0
2016-06-07,"EC3","C","EC3-3",0,0,0
2016-06-07,"ESR2","C","ESR2-2",0,0,0
2016-06-07,"ESR2","C","ESR2-4",0,0,0
2016-06-07,"CHSR8","H","CHSR8-5",0.0181818181818182,0,0
2016-06-07,"CSR7","C","CSR7-1",0,0,0
2016-06-07,"ESR2","C","ESR2-2",0,0,0
2016-06-07,"ESR2","C","ESR2-4",0,0,0
2016-06-07,"CHSR8","H","CHSR8-2",0,0,0
2016-06-07,"EHSR1","H","EHSR1-5",0,0,0
2016-06-07,"EC3","C","EC3-1",0,0,0
2016-06-07,"WHSR9","H","WHSR9-1",0,0,0
2016-06-07,"EH4","H","EH4-11",0,0,0
2016-06-07,"WHSR9","H","WHSR9-4",0,0,0
2016-06-07,"WHSR9","H","WHSR9-1",0,0,0
2016-06-07,"WHSR9","H","WHSR9-4",0.0181818181818182,0,0
2016-06-07,"WSR10","C","WSR10-7",0,0,0
2016-06-07,"CH5","H","CH5-5",0,0,0
2016-06-07,"CH5","H","CH5-3",0,0,0
2016-06-07,"EHSR1","H","EHSR1-2",0,0,0
2016-06-07,"CSR7","C","CSR7-3",0,0,0
2016-06-07,"CC6","C","CC6-1",0,0,0
