"date","plot","treatment","plant","volume"
2015-06-02,"WSR10","C","WSR10-9",1.89090909090909
2015-06-02,"WSR10","C","WSR10-1",0.490909090909091
2015-06-02,"WSR10","C","WSR10-1",0.527272727272727
2015-06-02,"WSR10","C","WSR10-9",0.363636363636364
2015-06-02,"WHSR9","H","WHSR9-1",0.727272727272727
2015-06-02,"WHSR9","H","WHSR9-2",0.436363636363636
2015-06-03,"CH5","H","CH5-7",0.763636363636364
2015-06-03,"CC6","C","CC6-9",0.472727272727273
2015-06-03,"CH5","H","CH5-7",0.163636363636364
2015-06-03,"CH5","H","CH5-5",0.545454545454545
2015-06-03,"CC6","C","CC6-9",0.472727272727273
2015-06-03,"CC6","C","CC6-9",0.527272727272727
2015-06-03,"CHSR8","H","CHSR8-2",0.163636363636364
2015-06-03,"CC6","C","CC6-9",0.581818181818182
2015-06-03,"CHSR8","H","CHSR8-4",0.0545454545454545
2015-06-03,"CC6","C","CC6-9",0.581818181818182
2015-06-03,"CHSR8","H","CHSR8-2",0.218181818181818
2015-06-03,"CH5","H","CH5-6",0.0727272727272727
2015-06-03,"CH5","H","CH5-6",0.490909090909091
2015-06-03,"CH5","H","CH5-7",0.163636363636364
2015-06-03,"CHSR8","H","CHSR8-4",0.109090909090909
2015-06-03,"CHSR8","H","CHSR8-6",0.109090909090909
2015-06-03,"CHSR8","H","CHSR8-6",0.0727272727272727
2015-06-06,"EHSR1","H","EHSR1-2",1.21818181818182
2015-06-06,"EH4","H","EH4-6",0.945454545454545
2015-06-06,"EC3","C","EC3-3",0.818181818181818
2015-06-06,"EHSR1","H","EHSR1-2",0.436363636363636
2015-06-06,"ESR2","C","ESR2-8",0.709090909090909
2015-06-06,"EH4","H","EH4-6",0.436363636363636
2015-06-06,"EHSR1","H","EHSR1-2",0.309090909090909
2015-06-06,"EH4","H","EH4-5",2.25454545454545
2015-06-06,"EHSR1","H","EHSR1-2",0.945454545454545
2015-06-06,"EH4","H","EH4-3",1.4
2015-06-06,"ESR2","C","ESR2-8",0.4
2015-06-06,"EH4","H","EH4-7",0.109090909090909
2015-06-08,"CHSR8","H","CHSR8-4",0.0181818181818182
2015-06-08,"WC11","C","WC11-4",0.309090909090909
2015-06-08,"CSR7","C","CSR7-9",0.327272727272727
2015-06-08,"CH5","H","CH5-6",0.218181818181818
2015-06-08,"WSR10","C","WSR10-1",0.127272727272727
2015-06-08,"CH5","H","CH5-6",0.381818181818182
2015-06-08,"WHSR9","H","WHSR9-1",0.509090909090909
2015-06-08,"CH5","H","CH5-6",0.6
2015-06-08,"CHSR8","H","CHSR8-4",0.636363636363636
2015-06-08,"WHSR9","H","WHSR9-4",0.236363636363636
2015-06-08,"CC6","C","CC6-5",0.418181818181818
2015-06-08,"WSR10","C","WSR10-1",0.181818181818182
2015-06-08,"WHSR9","H","WHSR9-3",0.0909090909090909
2015-06-08,"CHSR8","H","CHSR8-6",0.290909090909091
2015-06-08,"WC11","C","WC11-3",0.309090909090909
2015-06-08,"CC6","C","CC6-10",0.963636363636364
2015-06-08,"WC11","C","WC11-3",0.218181818181818
2015-06-08,"CHSR8","H","CHSR8-4",0.636363636363636
2015-06-08,"WHSR9","H","WHSR9-1",0.181818181818182
2015-06-08,"CHSR8","H","CHSR8-6",0.0181818181818182
2015-06-08,"CHSR8","H","CHSR8-2",0.218181818181818
2015-06-10,"ESR2","C","ESR2-8",0.0181818181818182
2015-06-10,"EH4","H","EH4-4",0.0181818181818182
2015-06-10,"EHSR1","H","EHSR1-2",0.109090909090909
2015-06-10,"EH4","H","EH4-5",0.490909090909091
2015-06-10,"ESR2","C","ESR2-8",0.545454545454545
2015-06-10,"EH4","H","EH4-5",1
2015-06-10,"ESR2","C","ESR2-2",0.490909090909091
2015-06-10,"EH4","H","EH4-6",0.272727272727273
2015-06-10,"EC3","C","EC3-8",0.545454545454545
2015-06-10,"EHSR1","H","EHSR1-2",0.109090909090909
2015-06-11,"CC6","C","CC6-9",0.218181818181818
2015-06-11,"CC6","C","CC6-9",3.83636363636364
2015-06-11,"CSR7","C","CSR7-9",0.854545454545454
2015-06-11,"CH5","H","CH5-6",0.963636363636364
2015-06-11,"CC6","C","CC6-9",1
2015-06-11,"CH5","H","CH5-5",0.309090909090909
2015-06-11,"CC6","C","CC6-9",0.0545454545454545
2015-06-11,"CC6","C","CC6-9",0.163636363636364
2015-06-11,"CH5","H","CH5-5",3.98181818181818
2015-06-11,"CH5","H","CH5-6",0.981818181818182
2015-06-11,"CH5","H","CH5-2",0.4
2015-06-11,"CSR7","C","CSR7-9",1.43636363636364
2015-06-11,"CHSR8","H","CHSR8-6",0.563636363636364
2015-06-11,"CH5","H","CH5-2",0.818181818181818
2015-06-11,"CHSR8","H","CHSR8-4",0.890909090909091
2015-06-11,"CHSR8","H","CHSR8-4",0.418181818181818
2015-06-11,"CHSR8","H","CHSR8-4",0.909090909090909
2015-06-11,"CHSR8","H","CHSR8-2",0.6
2015-06-11,"CHSR8","H","CHSR8-6",0.218181818181818
2015-06-11,"CH5","H","CH5-7",0.109090909090909
2015-06-12,"WHSR9","H","WHSR9-3",0.0545454545454545
2015-06-12,"WHSR9","H","WHSR9-3",0.109090909090909
2015-06-12,"WHSR9","H","WHSR9-1",0.0727272727272727
2015-06-13,"EH4","H","EH4-5",0.2
2015-06-13,"CHSR8","H","CHSR8-4",0.0181818181818182
2015-06-13,"EH4","H","EH4-6",0.0363636363636364
